match_id,match,teamInnings,battingPos,batsmanName,out/not_out,runs,balls,4s,6s,SR
T208597,RCB Vs KKR,RCB,8,HarshalPatel,not_out,8,6,1,0,133.33
T208597,RCB Vs KKR,RCB,9,GeorgeGarton,not_out,0,0,0,0,-
T208597,RCB Vs KKR,KKR,1,ShubmanGill,out,29,18,4,0,161.11
T208597,RCB Vs KKR,KKR,2,VenkateshIyer,out,26,30,0,1,86.66
T208597,RCB Vs KKR,KKR,3,RahulTripathi,out,6,5,1,0,120.00
T208597,RCB Vs KKR,KKR,4,NitishRana,out,23,25,1,1,92.00
T208597,RCB Vs KKR,KKR,5,SunilNarine,out,26,15,0,3,173.33
T208597,RCB Vs KKR,KKR,6,DineshKarthik,out,10,12,1,0,83.33
T208597,RCB Vs KKR,KKR,7,EoinMorgan,not_out,5,7,0,0,71.42
T208597,RCB Vs KKR,KKR,8,ShakibAlHasan,not_out,9,6,1,0,150.00
T201819,Capitals Vs Super Kings,Capitals,1,PrithviShaw,out,60,34,7,3,176.47
T201819,Capitals Vs Super Kings,Capitals,2,ShikharDhawan,out,7,7,1,0,100.00
T201819,Capitals Vs Super Kings,Capitals,3,ShreyasIyer,out,1,8,0,0,12.50
T201819,Capitals Vs Super Kings,Capitals,4,AxarPatel,out,10,11,1,0,90.90
T201819,Capitals Vs Super Kings,Capitals,5,RishabhPant,not_out,51,35,3,2,145.71
T201819,Capitals Vs Super Kings,Capitals,6,ShimronHetmyer,out,37,24,3,1,154.16
T201819,Capitals Vs Super Kings,Capitals,7,TomCurran,not_out,0,1,0,0,0.00
T201819,Capitals Vs Super Kings,Super Kings,1,RuturajGaikwad,out,70,50,5,2,140.00
T201819,Capitals Vs Super Kings,Super Kings,2,FafduPlessis,out,1,2,0,0,50.00
T201819,Capitals Vs Super Kings,Super Kings,3,RobinUthappa,out,63,44,7,2,143.18
T201819,Capitals Vs Super Kings,Super Kings,4,ShardulThakur,out,0,1,0,0,0.00
T201819,Capitals Vs Super Kings,Super Kings,5,AmbatiRayudu,out,1,3,0,0,33.33
T201819,Capitals Vs Super Kings,Super Kings,6,MoeenAli,out,16,12,2,0,133.33
T201819,Capitals Vs Super Kings,Super Kings,7,MSDhoni,not_out,18,6,3,1,300.00
T201819,Capitals Vs Super Kings,Super Kings,8,RavindraJadeja,not_out,0,0,0,0,-
T205942,Capitals Vs RCB,Capitals,1,PrithviShaw,out,48,31,4,2,154.83
T205942,Capitals Vs RCB,Capitals,2,ShikharDhawan,out,43,35,3,2,122.85
T205942,Capitals Vs RCB,Capitals,3,RishabhPant,out,10,8,1,0,125.00
T205942,Capitals Vs RCB,Capitals,4,ShreyasIyer,out,18,18,1,0,100.00
T205942,Capitals Vs RCB,Capitals,5,ShimronHetmyer,out,29,22,2,2,131.81
T205942,Capitals Vs RCB,Capitals,6,RipalPatel,not_out,7,7,1,0,100.00
T205942,Capitals Vs RCB,RCB,1,ViratKohli,out,4,8,0,0,50.00
T205942,Capitals Vs RCB,RCB,2,DevduttPadikkal,out,0,1,0,0,0.00
T205942,Capitals Vs RCB,RCB,3,SrikarBharat,not_out,78,52,3,4,150.00
T205942,Capitals Vs RCB,RCB,4,ABdeVilliers,out,26,26,2,1,100.00
T205942,Capitals Vs RCB,RCB,5,GlennMaxwell,not_out,51,33,8,0,154.54
T201979,Mumbai Vs Sunrisers,Mumbai,1,RohitSharma,out,18,13,3,0,138.46
T201979,Mumbai Vs Sunrisers,Mumbai,2,IshanKishan,out,84,32,11,4,262.50
T201979,Mumbai Vs Sunrisers,Mumbai,3,HardikPandya,out,10,8,0,1,125.00
T201979,Mumbai Vs Sunrisers,Mumbai,4,KieronPollard,out,13,12,1,0,108.33
T201979,Mumbai Vs Sunrisers,Mumbai,5,SuryakumarYadav,out,82,40,13,3,205.00
T201979,Mumbai Vs Sunrisers,Mumbai,6,JamesNeesham,out,0,1,0,0,0.00
T201979,Mumbai Vs Sunrisers,Mumbai,7,KrunalPandya,out,9,7,1,0,128.57
T201979,Mumbai Vs Sunrisers,Mumbai,8,NathanCoulter-Nile,out,3,3,0,0,100.00
T201979,Mumbai Vs Sunrisers,Mumbai,9,PiyushChawla,out,0,2,0,0,0.00
T201979,Mumbai Vs Sunrisers,Mumbai,10,JaspritBumrah,not_out,5,2,1,0,250.00
T201979,Mumbai Vs Sunrisers,Mumbai,11,TrentBoult,not_out,0,0,0,0,-
T201979,Mumbai Vs Sunrisers,Sunrisers,1,JasonRoy,out,34,21,6,0,161.90
T201979,Mumbai Vs Sunrisers,Sunrisers,2,AbhishekSharma,out,33,16,4,1,206.25
T201979,Mumbai Vs Sunrisers,Sunrisers,3,ManishPandey,not_out,69,41,7,2,168.29
T201979,Mumbai Vs Sunrisers,Sunrisers,4,MohammadNabi,out,3,4,0,0,75.00
T201979,Mumbai Vs Sunrisers,Sunrisers,5,AbdulSamad,out,2,3,0,0,66.66
T201979,Mumbai Vs Sunrisers,Sunrisers,6,PriyamGarg,out,29,21,2,1,138.09
T201979,Mumbai Vs Sunrisers,Sunrisers,7,JasonHolder,out,1,2,0,0,50.00
T201979,Mumbai Vs Sunrisers,Sunrisers,8,RashidKhan,out,9,5,2,0,180.00
T201979,Mumbai Vs Sunrisers,Sunrisers,9,WriddhimanSaha,out,2,5,0,0,40.00
T201979,Mumbai Vs Sunrisers,Sunrisers,10,SiddarthKaul,not_out,1,3,0,0,33.33
T204179,KKR Vs Royals,KKR,1,ShubmanGill,out,56,44,4,2,127.27
T204179,KKR Vs Royals,KKR,2,VenkateshIyer,out,38,35,3,2,108.57
T204179,KKR Vs Royals,KKR,3,NitishRana,out,12,5,1,1,240.00
T204179,KKR Vs Royals,KKR,4,RahulTripathi,out,21,14,3,0,150.00
T204179,KKR Vs Royals,KKR,5,DineshKarthik,not_out,14,11,0,1,127.27
T204179,KKR Vs Royals,KKR,6,EoinMorgan,not_out,13,11,1,1,118.18
T204179,KKR Vs Royals,Royals,1,YashasviJaiswal,out,0,3,0,0,0.00
T204179,KKR Vs Royals,Royals,2,LiamLivingstone,out,6,6,1,0,100.00
T204179,KKR Vs Royals,Royals,3,SanjuSamson,out,1,4,0,0,25.00
T204179,KKR Vs Royals,Royals,4,ShivamDube,out,18,20,0,1,90.00
T204179,KKR Vs Royals,Royals,5,AnujRawat,out,0,1,0,0,0.00
T204179,KKR Vs Royals,Royals,6,GlennPhillips,out,8,12,0,1,66.66
T204179,KKR Vs Royals,Royals,7,RahulTewatia,out,44,36,5,2,122.22
T204179,KKR Vs Royals,Royals,8,ChrisMorris,out,0,2,0,0,0.00
T204179,KKR Vs Royals,Royals,9,JaydevUnadkat,out,6,5,1,0,120.00
T204179,KKR Vs Royals,Royals,10,ChetanSakariya,out,1,5,0,0,20.00
T204179,KKR Vs Royals,Royals,11,MustafizurRahman,not_out,0,3,0,0,0.00
T201866,Super Kings Vs Punjab Kings,Super Kings,1,RuturajGaikwad,out,12,14,1,0,85.71
T201866,Super Kings Vs Punjab Kings,Super Kings,2,FafduPlessis,out,76,55,8,2,138.18
T201866,Super Kings Vs Punjab Kings,Super Kings,3,MoeenAli,out,0,6,0,0,0.00
T201866,Super Kings Vs Punjab Kings,Super Kings,4,RobinUthappa,out,2,6,0,0,33.33
T201866,Super Kings Vs Punjab Kings,Super Kings,5,AmbatiRayudu,out,4,5,0,0,80.00
T201866,Super Kings Vs Punjab Kings,Super Kings,6,MSDhoni,out,12,15,2,0,80.00
T201866,Super Kings Vs Punjab Kings,Super Kings,7,RavindraJadeja,not_out,15,17,1,0,88.23
T201866,Super Kings Vs Punjab Kings,Super Kings,8,DwayneBravo,not_out,4,2,1,0,200.00
T201866,Super Kings Vs Punjab Kings,Punjab Kings,1,KLRahul,not_out,98,42,7,8,233.33
T201866,Super Kings Vs Punjab Kings,Punjab Kings,2,MayankAgarwal,out,12,12,2,0,100.00
T201866,Super Kings Vs Punjab Kings,Punjab Kings,3,SarfarazKhan,out,0,3,0,0,0.00
T201866,Super Kings Vs Punjab Kings,Punjab Kings,4,MShahrukhKhan,out,8,10,0,1,80.00
T201866,Super Kings Vs Punjab Kings,Punjab Kings,5,AidenMarkram,out,13,8,0,1,162.50
T201866,Super Kings Vs Punjab Kings,Punjab Kings,6,MoisesHenriques,not_out,3,3,0,0,100.00
T209992,Sunrisers Vs RCB,Sunrisers,1,JasonRoy,out,44,38,5,0,115.78
T209992,Sunrisers Vs RCB,Sunrisers,2,AbhishekSharma,out,13,10,1,1,130.00
T209992,Sunrisers Vs RCB,Sunrisers,3,KaneWilliamson,out,31,29,4,0,106.89
T209992,Sunrisers Vs RCB,Sunrisers,4,PriyamGarg,out,15,11,0,1,136.36
T209992,Sunrisers Vs RCB,Sunrisers,5,AbdulSamad,out,1,3,0,0,33.33
T209992,Sunrisers Vs RCB,Sunrisers,6,WriddhimanSaha,out,10,8,1,0,125.00
T209992,Sunrisers Vs RCB,Sunrisers,7,JasonHolder,out,16,13,2,0,123.07
T209992,Sunrisers Vs RCB,Sunrisers,8,RashidKhan,not_out,7,9,1,0,77.77
T209992,Sunrisers Vs RCB,RCB,1,ViratKohli,out,5,4,1,0,125.00
T209992,Sunrisers Vs RCB,RCB,2,DevduttPadikkal,out,41,52,4,0,78.84
T209992,Sunrisers Vs RCB,RCB,3,DanChristian,out,1,4,0,0,25.00
T209992,Sunrisers Vs RCB,RCB,4,SrikarBharat,out,12,10,1,1,120.00
T209992,Sunrisers Vs RCB,RCB,5,GlennMaxwell,out,40,25,3,2,160.00
T209992,Sunrisers Vs RCB,RCB,6,ABdeVilliers,not_out,19,13,1,1,146.15
T209992,Sunrisers Vs RCB,RCB,7,ShahbazAhmed,out,14,9,2,0,155.55
T209992,Sunrisers Vs RCB,RCB,8,GeorgeGarton,not_out,2,3,0,0,66.66
T205599,Royals Vs Mumbai,Royals,1,EvinLewis,out,24,19,3,1,126.31
T205599,Royals Vs Mumbai,Royals,2,YashasviJaiswal,out,12,9,3,0,133.33
T205599,Royals Vs Mumbai,Royals,3,SanjuSamson,out,3,6,0,0,50.00
T205599,Royals Vs Mumbai,Royals,4,ShivamDube,out,3,8,0,0,37.50
T205599,Royals Vs Mumbai,Royals,5,GlennPhillips,out,4,13,0,0,30.76
T205599,Royals Vs Mumbai,Royals,6,DavidMiller,out,15,23,0,0,65.21
T205599,Royals Vs Mumbai,Royals,7,RahulTewatia,out,12,20,0,0,60.00
T205599,Royals Vs Mumbai,Royals,8,ShreyasGopal,out,0,1,0,0,0.00
T205599,Royals Vs Mumbai,Royals,9,ChetanSakariya,out,6,11,1,0,54.54
T205599,Royals Vs Mumbai,Royals,10,KuldipYadav,not_out,0,4,0,0,0.00
T205599,Royals Vs Mumbai,Royals,11,MustafizurRahman,not_out,8,7,0,1,114.28
T205599,Royals Vs Mumbai,Mumbai,1,RohitSharma,out,22,13,1,2,169.23
T205599,Royals Vs Mumbai,Mumbai,2,IshanKishan,not_out,50,25,5,3,200.00
T205599,Royals Vs Mumbai,Mumbai,3,SuryakumarYadav,out,13,8,3,0,162.50
T205599,Royals Vs Mumbai,Mumbai,4,HardikPandya,not_out,5,6,0,0,83.33
T207682,Super Kings Vs Capitals,Super Kings,1,RuturajGaikwad,out,13,13,2,0,100.00
T207682,Super Kings Vs Capitals,Super Kings,2,FafduPlessis,out,10,8,2,0,125.00
T207682,Super Kings Vs Capitals,Super Kings,3,RobinUthappa,out,19,19,1,0,100.00
T207682,Super Kings Vs Capitals,Super Kings,4,MoeenAli,out,5,8,0,0,62.50
T207682,Super Kings Vs Capitals,Super Kings,5,AmbatiRayudu,not_out,55,43,5,2,127.90
T207682,Super Kings Vs Capitals,Super Kings,6,MSDhoni,out,18,27,0,0,66.66
T207682,Super Kings Vs Capitals,Super Kings,7,RavindraJadeja,not_out,1,2,0,0,50.00
T207682,Super Kings Vs Capitals,Capitals,1,PrithviShaw,out,18,12,3,0,150.00
T207682,Super Kings Vs Capitals,Capitals,2,ShikharDhawan,out,39,35,3,2,111.42
T207682,Super Kings Vs Capitals,Capitals,3,ShreyasIyer,out,2,7,0,0,28.57
T207682,Super Kings Vs Capitals,Capitals,4,RishabhPant,out,15,12,1,1,125.00
T207682,Super Kings Vs Capitals,Capitals,5,RipalPatel,out,18,20,2,0,90.00
T207682,Super Kings Vs Capitals,Capitals,6,RavichandranAshwin,out,2,3,0,0,66.66
T207682,Super Kings Vs Capitals,Capitals,7,ShimronHetmyer,not_out,28,18,2,1,155.55
T207682,Super Kings Vs Capitals,Capitals,8,AxarPatel,out,5,10,0,0,50.00
T207682,Super Kings Vs Capitals,Capitals,9,KagisoRabada,not_out,4,1,1,0,400.00
T207430,Sunrisers Vs KKR,Sunrisers,1,JasonRoy,out,10,13,2,0,76.92
T207430,Sunrisers Vs KKR,Sunrisers,2,WriddhimanSaha,out,0,1,0,0,0.00
T207430,Sunrisers Vs KKR,Sunrisers,3,KaneWilliamson,out,26,21,4,0,123.80
T207430,Sunrisers Vs KKR,Sunrisers,4,PriyamGarg,out,21,31,0,1,67.74
T207430,Sunrisers Vs KKR,Sunrisers,5,AbhishekSharma,out,6,10,0,0,60.00
T207430,Sunrisers Vs KKR,Sunrisers,6,AbdulSamad,out,25,18,0,3,138.88
T207430,Sunrisers Vs KKR,Sunrisers,7,JasonHolder,out,2,9,0,0,22.22
T207430,Sunrisers Vs KKR,Sunrisers,8,RashidKhan,out,8,6,1,0,133.33
T207430,Sunrisers Vs KKR,Sunrisers,9,BhuvneshwarKumar,not_out,7,7,0,0,100.00
T207430,Sunrisers Vs KKR,Sunrisers,10,SiddarthKaul,not_out,7,5,1,0,140.00
T207430,Sunrisers Vs KKR,KKR,1,ShubmanGill,out,57,51,10,0,111.76
T207430,Sunrisers Vs KKR,KKR,2,VenkateshIyer,out,8,14,0,0,57.14
T207430,Sunrisers Vs KKR,KKR,3,RahulTripathi,out,7,6,1,0,116.66
T207430,Sunrisers Vs KKR,KKR,4,NitishRana,out,25,33,3,0,75.75
T207430,Sunrisers Vs KKR,KKR,5,DineshKarthik,not_out,18,12,3,0,150.00
T207430,Sunrisers Vs KKR,KKR,6,EoinMorgan,not_out,2,2,0,0,100.00
T207754,RCB Vs Punjab Kings,RCB,1,ViratKohli,out,25,24,2,1,104.16
T207754,RCB Vs Punjab Kings,RCB,2,DevduttPadikkal,out,40,38,4,2,105.26
T207754,RCB Vs Punjab Kings,RCB,3,DanChristian,out,0,1,0,0,0.00
T207754,RCB Vs Punjab Kings,RCB,4,GlennMaxwell,out,57,33,3,4,172.72
T207754,RCB Vs Punjab Kings,RCB,5,ABdeVilliers,out,23,18,1,2,127.77
T207754,RCB Vs Punjab Kings,RCB,6,ShahbazAhmed,out,8,4,0,1,200.00
T207754,RCB Vs Punjab Kings,RCB,7,SrikarBharat,not_out,0,0,0,0,-
T207754,RCB Vs Punjab Kings,RCB,8,GeorgeGarton,out,0,1,0,0,0.00
T207754,RCB Vs Punjab Kings,RCB,9,HarshalPatel,not_out,1,1,0,0,100.00
T207754,RCB Vs Punjab Kings,Punjab Kings,1,KLRahul,out,39,35,1,2,111.42
T207754,RCB Vs Punjab Kings,Punjab Kings,2,MayankAgarwal,out,57,42,6,2,135.71
T207754,RCB Vs Punjab Kings,Punjab Kings,3,NicholasPooran,out,3,7,0,0,42.85
T207754,RCB Vs Punjab Kings,Punjab Kings,4,AidenMarkram,out,20,14,2,1,142.85
T207754,RCB Vs Punjab Kings,Punjab Kings,5,SarfarazKhan,out,0,1,0,0,0.00
T207754,RCB Vs Punjab Kings,Punjab Kings,6,MShahrukhKhan,out,16,11,1,1,145.45
T207754,RCB Vs Punjab Kings,Punjab Kings,7,MoisesHenriques,not_out,12,9,0,1,133.33
T207754,RCB Vs Punjab Kings,Punjab Kings,8,HarpreetBrar,not_out,3,2,0,0,150.00
T205672,Super Kings Vs Royals,Super Kings,1,RuturajGaikwad,not_out,101,60,9,5,168.33
T205672,Super Kings Vs Royals,Super Kings,2,FafduPlessis,out,25,19,2,1,131.57
T205672,Super Kings Vs Royals,Super Kings,3,SureshRaina,out,3,5,0,0,60.00
T205672,Super Kings Vs Royals,Super Kings,4,MoeenAli,out,21,17,1,1,123.52
T205672,Super Kings Vs Royals,Super Kings,5,AmbatiRayudu,out,2,4,0,0,50.00
T205672,Super Kings Vs Royals,Super Kings,6,RavindraJadeja,not_out,32,15,4,1,213.33
T205672,Super Kings Vs Royals,Royals,1,EvinLewis,out,27,12,2,2,225.00
T205672,Super Kings Vs Royals,Royals,2,YashasviJaiswal,out,50,21,6,3,238.09
T205672,Super Kings Vs Royals,Royals,3,SanjuSamson,out,28,24,4,0,116.66
T205672,Super Kings Vs Royals,Royals,4,ShivamDube,not_out,64,42,4,4,152.38
T205672,Super Kings Vs Royals,Royals,5,GlennPhillips,not_out,14,8,1,1,175.00
T209349,Mumbai Vs Capitals,Mumbai,1,RohitSharma,out,7,10,1,0,70.00
T209349,Mumbai Vs Capitals,Mumbai,2,QuintondeKock,out,19,18,1,1,105.55
T209349,Mumbai Vs Capitals,Mumbai,3,SuryakumarYadav,out,33,26,2,2,126.92
T209349,Mumbai Vs Capitals,Mumbai,4,SaurabhTiwary,out,15,18,1,0,83.33
T209349,Mumbai Vs Capitals,Mumbai,5,KieronPollard,out,6,9,0,0,66.66
T209349,Mumbai Vs Capitals,Mumbai,6,HardikPandya,out,17,18,2,0,94.44
T209349,Mumbai Vs Capitals,Mumbai,7,KrunalPandya,not_out,13,15,1,1,86.66
T209349,Mumbai Vs Capitals,Mumbai,8,NathanCoulter-Nile,out,1,2,0,0,50.00
T209349,Mumbai Vs Capitals,Mumbai,9,JayantYadav,out,11,4,1,1,275.00
T209349,Mumbai Vs Capitals,Mumbai,10,JaspritBumrah,not_out,1,1,0,0,100.00
T209349,Mumbai Vs Capitals,Capitals,1,PrithviShaw,out,6,7,1,0,85.71
T209349,Mumbai Vs Capitals,Capitals,2,ShikharDhawan,out,8,7,0,1,114.28
T209349,Mumbai Vs Capitals,Capitals,3,StevenSmith,out,9,8,0,1,112.50
T209349,Mumbai Vs Capitals,Capitals,4,RishabhPant,out,26,22,3,1,118.18
T209349,Mumbai Vs Capitals,Capitals,5,ShreyasIyer,not_out,33,33,2,0,100.00
T209349,Mumbai Vs Capitals,Capitals,6,AxarPatel,out,9,9,1,0,100.00
T209349,Mumbai Vs Capitals,Capitals,7,ShimronHetmyer,out,15,8,2,0,187.50
T209349,Mumbai Vs Capitals,Capitals,8,RavichandranAshwin,not_out,20,21,0,1,95.23
T201051,KKR Vs Punjab Kings,KKR,1,VenkateshIyer,out,67,49,9,1,136.73
T201051,KKR Vs Punjab Kings,KKR,2,ShubmanGill,out,7,7,1,0,100.00
T201051,KKR Vs Punjab Kings,KKR,3,RahulTripathi,out,34,26,3,1,130.76
T201051,KKR Vs Punjab Kings,KKR,4,NitishRana,out,31,18,2,2,172.22
T201051,KKR Vs Punjab Kings,KKR,5,EoinMorgan,out,2,2,0,0,100.00
T201051,KKR Vs Punjab Kings,KKR,6,DineshKarthik,out,11,11,0,0,100.00
T201051,KKR Vs Punjab Kings,KKR,7,TimSeifert,out,2,4,0,0,50.00
T201051,KKR Vs Punjab Kings,KKR,8,SunilNarine,not_out,3,3,0,0,100.00
T201051,KKR Vs Punjab Kings,Punjab Kings,1,KLRahul,out,67,55,4,2,121.81
T201051,KKR Vs Punjab Kings,Punjab Kings,2,MayankAgarwal,out,40,27,3,3,148.14
T201051,KKR Vs Punjab Kings,Punjab Kings,3,NicholasPooran,out,12,7,0,1,171.42
T201051,KKR Vs Punjab Kings,Punjab Kings,4,AidenMarkram,out,18,16,0,1,112.50
T201051,KKR Vs Punjab Kings,Punjab Kings,5,DeepakHooda,out,3,4,0,0,75.00
T201051,KKR Vs Punjab Kings,Punjab Kings,6,MShahrukhKhan,not_out,22,9,1,2,244.44
T201051,KKR Vs Punjab Kings,Punjab Kings,7,FabianAllen,not_out,0,0,0,0,-
T203061,Sunrisers Vs Super Kings,Sunrisers,1,JasonRoy,out,2,7,0,0,28.57
T203061,Sunrisers Vs Super Kings,Sunrisers,2,WriddhimanSaha,out,44,46,1,2,95.65
T203061,Sunrisers Vs Super Kings,Sunrisers,3,KaneWilliamson,out,11,11,2,0,100.00
T203061,Sunrisers Vs Super Kings,Sunrisers,4,PriyamGarg,out,7,10,0,0,70.00
T203061,Sunrisers Vs Super Kings,Sunrisers,5,AbhishekSharma,out,18,13,1,1,138.46
T203061,Sunrisers Vs Super Kings,Sunrisers,6,AbdulSamad,out,18,14,1,1,128.57
T203061,Sunrisers Vs Super Kings,Sunrisers,7,JasonHolder,out,5,5,0,0,100.00
T203061,Sunrisers Vs Super Kings,Sunrisers,8,RashidKhan,not_out,17,13,2,0,130.76
T203061,Sunrisers Vs Super Kings,Sunrisers,9,BhuvneshwarKumar,not_out,2,2,0,0,100.00
T203061,Sunrisers Vs Super Kings,Super Kings,1,RuturajGaikwad,out,45,38,4,2,118.42
T203061,Sunrisers Vs Super Kings,Super Kings,2,FafduPlessis,out,41,36,3,2,113.88
T203061,Sunrisers Vs Super Kings,Super Kings,3,MoeenAli,out,17,17,2,0,100.00
T203061,Sunrisers Vs Super Kings,Super Kings,4,SureshRaina,out,2,3,0,0,66.66
T203061,Sunrisers Vs Super Kings,Super Kings,5,AmbatiRayudu,not_out,17,13,1,1,130.76
T203061,Sunrisers Vs Super Kings,Super Kings,6,MSDhoni,not_out,14,11,1,1,127.27
T204742,Royals Vs RCB,Royals,1,EvinLewis,out,58,37,5,3,156.75
T204742,Royals Vs RCB,Royals,2,YashasviJaiswal,out,31,22,3,2,140.90
T204742,Royals Vs RCB,Royals,3,SanjuSamson,out,19,15,0,2,126.66
T204742,Royals Vs RCB,Royals,4,MahipalLomror,out,3,4,0,0,75.00
T204742,Royals Vs RCB,Royals,5,LiamLivingstone,out,6,9,0,0,66.66
T204742,Royals Vs RCB,Royals,6,RahulTewatia,out,2,3,0,0,66.66
T204742,Royals Vs RCB,Royals,7,RiyanParag,out,9,16,0,0,56.25
T204742,Royals Vs RCB,Royals,8,ChrisMorris,out,14,11,2,0,127.27
T204742,Royals Vs RCB,Royals,9,ChetanSakariya,out,2,2,0,0,100.00
T204742,Royals Vs RCB,Royals,10,KartikTyagi,not_out,1,1,0,0,100.00
T204742,Royals Vs RCB,RCB,1,ViratKohli,out,25,20,4,0,125.00
T204742,Royals Vs RCB,RCB,2,DevduttPadikkal,out,22,17,4,0,129.41
T204742,Royals Vs RCB,RCB,3,SrikarBharat,out,44,35,3,1,125.71
T204742,Royals Vs RCB,RCB,4,GlennMaxwell,not_out,50,30,6,1,166.66
T204742,Royals Vs RCB,RCB,5,ABdeVilliers,not_out,4,1,1,0,400.00
T208262,Punjab Kings Vs Mumbai,Punjab Kings,1,KLRahul,out,21,22,2,0,95.45
T208262,Punjab Kings Vs Mumbai,Punjab Kings,2,MandeepSingh,out,15,14,2,0,107.14
T208262,Punjab Kings Vs Mumbai,Punjab Kings,3,ChrisGayle,out,1,4,0,0,25.00
T208262,Punjab Kings Vs Mumbai,Punjab Kings,4,AidenMarkram,out,42,29,6,0,144.82
T208262,Punjab Kings Vs Mumbai,Punjab Kings,5,NicholasPooran,out,2,3,0,0,66.66
T208262,Punjab Kings Vs Mumbai,Punjab Kings,6,DeepakHooda,out,28,26,1,1,107.69
T208262,Punjab Kings Vs Mumbai,Punjab Kings,7,HarpreetBrar,not_out,14,19,0,0,73.68
T208262,Punjab Kings Vs Mumbai,Punjab Kings,8,NathanEllis,not_out,6,4,0,0,150.00
T208262,Punjab Kings Vs Mumbai,Mumbai,1,RohitSharma,out,8,10,1,0,80.00
T208262,Punjab Kings Vs Mumbai,Mumbai,2,QuintondeKock,out,27,29,2,0,93.10
T208262,Punjab Kings Vs Mumbai,Mumbai,3,SuryakumarYadav,out,0,1,0,0,0.00
T208262,Punjab Kings Vs Mumbai,Mumbai,4,SaurabhTiwary,out,45,37,3,2,121.62
T208262,Punjab Kings Vs Mumbai,Mumbai,5,HardikPandya,not_out,40,30,4,2,133.33
T208262,Punjab Kings Vs Mumbai,Mumbai,6,KieronPollard,not_out,15,7,1,1,214.28
T206700,Capitals Vs KKR,Capitals,1,StevenSmith,out,39,34,4,0,114.70
T206700,Capitals Vs KKR,Capitals,2,ShikharDhawan,out,24,20,5,0,120.00
T206700,Capitals Vs KKR,Capitals,3,ShreyasIyer,out,1,5,0,0,20.00
