team1,team2,winner,margin,matchDate,match_id
Mumbai,Punjab Kings,Punjab Kings,9 wickets,"Apr 23, 2021",T204808
Royals,RCB,RCB,10 wickets,"Apr 22, 2021",T201545
Super Kings,KKR,Super Kings,18 runs,"Apr 21, 2021",T202233
Punjab Kings,Sunrisers,Sunrisers,9 wickets,"Apr 21, 2021",T204912
Mumbai,Capitals,Capitals,6 wickets,"Apr 20, 2021",T207273
Super Kings,Royals,Super Kings,45 runs,"Apr 19, 2021",T209089
Punjab Kings,Capitals,Capitals,6 wickets,"Apr 18, 2021",T209593
RCB,KKR,RCB,38 runs,"Apr 18, 2021",T202791
Mumbai,Sunrisers,Mumbai,13 runs,"Apr 17, 2021",T201372
Punjab Kings,Super Kings,Super Kings,6 wickets,"Apr 16, 2021",T205292
Capitals,Royals,Royals,3 wickets,"Apr 15, 2021",T203570
RCB,Sunrisers,RCB,6 runs,"Apr 14, 2021",T202204
Mumbai,KKR,Mumbai,10 runs,"Apr 13, 2021",T209194
Punjab Kings,Royals,Punjab Kings,4 runs,"Apr 12, 2021",T207896
KKR,Sunrisers,KKR,10 runs,"Apr 11, 2021",T209178
Super Kings,Capitals,Capitals,7 wickets,"Apr 10, 2021",T206363
Mumbai,RCB,RCB,2 wickets,"Apr 9, 2021",T203784
Royals,Titans,Titans,7 wickets,"May 29, 2022",T202715
RCB,Royals,Royals,7 wickets,"May 27, 2022",T201109
RCB,Super Giants,RCB,14 runs,"May 25, 2022",T207136
Royals,Titans,Titans,7 wickets,"May 24, 2022",T203302
Sunrisers,Punjab Kings,Punjab Kings,5 wickets,"May 22, 2022",T204029
Capitals,Mumbai,Mumbai,5 wickets,"May 21, 2022",T205729
Super Kings,Royals,Royals,5 wickets,"May 20, 2022",T203588
Titans,RCB,RCB,8 wickets,"May 19, 2022",T201867
Super Giants,KKR,Super Giants,2 runs,"May 18, 2022",T202863
Sunrisers,Mumbai,Sunrisers,3 runs,"May 17, 2022",T206060
Capitals,Punjab Kings,Capitals,17 runs,"May 16, 2022",T209295
Royals,Super Giants,Royals,24 runs,"May 15, 2022",T204939
Super Kings,Titans,Titans,7 wickets,"May 15, 2022",T204140
KKR,Sunrisers,KKR,54 runs,"May 14, 2022",T209676
Punjab Kings,RCB,Punjab Kings,54 runs,"May 13, 2022",T203332
Super Kings,Mumbai,Mumbai,5 wickets,"May 12, 2022",T203878
Royals,Capitals,Capitals,8 wickets,"May 11, 2022",T201826
Titans,Super Giants,Titans,62 runs,"May 10, 2022",T207400
KKR,Mumbai,KKR,52 runs,"May 9, 2022",T203087
Super Kings,Capitals,Super Kings,91 runs,"May 8, 2022",T205352
RCB,Sunrisers,RCB,67 runs,"May 8, 2022",T207464
Super Giants,KKR,Super Giants,75 runs,"May 7, 2022",T204710
Punjab Kings,Royals,Royals,6 wickets,"May 7, 2022",T201231
Mumbai,Titans,Mumbai,5 runs,"May 6, 2022",T201720
Capitals,Sunrisers,Capitals,21 runs,"May 5, 2022",T201248
RCB,Super Kings,RCB,13 runs,"May 4, 2022",T207511
Titans,Punjab Kings,Punjab Kings,8 wickets,"May 3, 2022",T209502
Royals,KKR,KKR,7 wickets,"May 2, 2022",T201137
Super Kings,Sunrisers,Super Kings,13 runs,"May 1, 2022",T206274
Super Giants,Capitals,Super Giants,6 runs,"May 1, 2022",T208561
Royals,Mumbai,Mumbai,5 wickets,"Apr 30, 2022",T204259
RCB,Titans,Titans,6 wickets,"Apr 30, 2022",T208841
Super Giants,Punjab Kings,Super Giants,20 runs,"Apr 29, 2022",T207116
KKR,Capitals,Capitals,4 wickets,"Apr 28, 2022",T209582
Sunrisers,Titans,Titans,5 wickets,"Apr 27, 2022",T209115
Royals,RCB,Royals,29 runs,"Apr 26, 2022",T205212
Punjab Kings,Super Kings,Punjab Kings,11 runs,"Apr 25, 2022",T207611
Super Giants,Mumbai,Super Giants,36 runs,"Apr 24, 2022",T208801
RCB,Sunrisers,Sunrisers,9 wickets,"Apr 23, 2022",T208774
Titans,KKR,Titans,8 runs,"Apr 23, 2022",T208514
Royals,Capitals,Royals,15 runs,"Apr 22, 2022",T206421
Mumbai,Super Kings,Super Kings,3 wickets,"Apr 21, 2022",T202326
Punjab Kings,Capitals,Capitals,9 wickets,"Apr 20, 2022",T203741
RCB,Super Giants,RCB,18 runs,"Apr 19, 2022",T204535
Royals,KKR,Royals,7 runs,"Apr 18, 2022",T206892
Super Kings,Titans,Titans,3 wickets,"Apr 17, 2022",T206030
Punjab Kings,Sunrisers,Sunrisers,7 wickets,"Apr 17, 2022",T208958
RCB,Capitals,RCB,16 runs,"Apr 16, 2022",T205793
Super Giants,Mumbai,Super Giants,18 runs,"Apr 16, 2022",T204555
KKR,Sunrisers,Sunrisers,7 wickets,"Apr 15, 2022",T208105
Titans,Royals,Titans,37 runs,"Apr 14, 2022",T207043
Punjab Kings,Mumbai,Punjab Kings,12 runs,"Apr 13, 2022",T208002
Super Kings,RCB,Super Kings,23 runs,"Apr 12, 2022",T203601
Titans,Sunrisers,Sunrisers,8 wickets,"Apr 11, 2022",T208211
Royals,Super Giants,Royals,3 runs,"Apr 10, 2022",T207999
Capitals,KKR,Capitals,44 runs,"Apr 10, 2022",T208705
Mumbai,RCB,RCB,7 wickets,"Apr 9, 2022",T204746
Super Kings,Sunrisers,Sunrisers,8 wickets,"Apr 9, 2022",T209199
Punjab Kings,Titans,Titans,6 wickets,"Apr 8, 2022",T202634
Capitals,Super Giants,Super Giants,6 wickets,"Apr 7, 2022",T204296
Mumbai,KKR,KKR,5 wickets,"Apr 6, 2022",T207856
Royals,RCB,RCB,4 wickets,"Apr 5, 2022",T203456
Super Giants,Sunrisers,Super Giants,12 runs,"Apr 4, 2022",T204825
Punjab Kings,Super Kings,Punjab Kings,54 runs,"Apr 3, 2022",T206118
Titans,Capitals,Titans,14 runs,"Apr 2, 2022",T205181
Royals,Mumbai,Royals,23 runs,"Apr 2, 2022",T209847
Punjab Kings,KKR,KKR,6 wickets,"Apr 1, 2022",T203227
Super Kings,Super Giants,Super Giants,6 wickets,"Mar 31, 2022",T207058
KKR,RCB,RCB,3 wickets,"Mar 30, 2022",T203578
Royals,Sunrisers,Royals,61 runs,"Mar 29, 2022",T205314
Super Giants,Titans,Titans,5 wickets,"Mar 28, 2022",T202349
RCB,Punjab Kings,Punjab Kings,5 wickets,"Mar 27, 2022",T208141
Mumbai,Capitals,Capitals,4 wickets,"Mar 27, 2022",T205838
Super Kings,KKR,KKR,6 wickets,"Mar 26, 2022",T201512
Titans,Super Kings,Super Kings,5 wickets,"May 28-29, 2023",T208201
Titans,Mumbai,Titans,62 runs,"May 26, 2023",T203496
Mumbai,Super Giants,Mumbai,81 runs,"May 24, 2023",T203571
Super Kings,Titans,Super Kings,15 runs,"May 23, 2023",T206084
RCB,Titans,Titans,6 wickets,"May 21, 2023",T201605
Sunrisers,Mumbai,Mumbai,8 wickets,"May 21, 2023",T206817
Super Giants,KKR,Super Giants,1 run,"May 20, 2023",T203370
Super Kings,Capitals,Super Kings,77 runs,"May 20, 2023",T206925
Punjab Kings,Royals,Royals,4 wickets,"May 19, 2023",T205037
Sunrisers,RCB,RCB,8 wickets,"May 18, 2023",T202467
Capitals,Punjab Kings,Capitals,15 runs,"May 17, 2023",T201082
Super Giants,Mumbai,Super Giants,5 runs,"May 16, 2023",T208249
Titans,Sunrisers,Titans,34 runs,"May 15, 2023",T208692
Super Kings,KKR,KKR,6 wickets,"May 14, 2023",T206211
RCB,Royals,RCB,112 runs,"May 14, 2023",T204453
Punjab Kings,Capitals,Punjab Kings,31 runs,"May 13, 2023",T208032
Sunrisers,Super Giants,Super Giants,7 wickets,"May 13, 2023",T204737
Mumbai,Titans,Mumbai,27 runs,"May 12, 2023",T203656
KKR,Royals,Royals,9 wickets,"May 11, 2023",T205338
Super Kings,Capitals,Super Kings,27 runs,"May 10, 2023",T209224
RCB,Mumbai,Mumbai,6 wickets,"May 9, 2023",T205430
Punjab Kings,KKR,KKR,5 wickets,"May 8, 2023",T201181
Royals,Sunrisers,Sunrisers,4 wickets,"May 7, 2023",T201576
Titans,Super Giants,Titans,56 runs,"May 7, 2023",T201503
RCB,Capitals,Capitals,7 wickets,"May 6, 2023",T208517
Mumbai,Super Kings,Super Kings,6 wickets,"May 6, 2023",T204004
Royals,Titans,Titans,9 wickets,"May 5, 2023",T206195
KKR,Sunrisers,KKR,5 runs,"May 4, 2023",T208611
Punjab Kings,Mumbai,Mumbai,6 wickets,"May 3, 2023",T205138
Capitals,Titans,Capitals,5 runs,"May 2, 2023",T203464
RCB,Super Giants,RCB,18 runs,"May 1, 2023",T203494
Royals,Mumbai,Mumbai,6 wickets,"Apr 30, 2023",T204100
Super Kings,Punjab Kings,Punjab Kings,4 wickets,"Apr 30, 2023",T204443
Sunrisers,Capitals,Sunrisers,9 runs,"Apr 29, 2023",T207344
KKR,Titans,Titans,7 wickets,"Apr 29, 2023",T201505
Super Giants,Punjab Kings,Super Giants,56 runs,"Apr 28, 2023",T204958
Royals,Super Kings,Royals,32 runs,"Apr 27, 2023",T204283
KKR,RCB,KKR,21 runs,"Apr 26, 2023",T202291
Titans,Mumbai,Titans,55 runs,"Apr 25, 2023",T208781
Capitals,Sunrisers,Capitals,7 runs,"Apr 24, 2023",T206316
Super Kings,KKR,Super Kings,49 runs,"Apr 23, 2023",T207135
RCB,Royals,RCB,7 runs,"Apr 23, 2023",T205220
Punjab Kings,Mumbai,Punjab Kings,13 runs,"Apr 22, 2023",T204462
Titans,Super Giants,Titans,7 runs,"Apr 22, 2023",T208595
Sunrisers,Super Kings,Super Kings,7 wickets,"Apr 21, 2023",T208568
KKR,Capitals,Capitals,4 wickets,"Apr 20, 2023",T206506
RCB,Punjab Kings,RCB,24 runs,"Apr 20, 2023",T209410
Super Giants,Royals,Super Giants,10 runs,"Apr 19, 2023",T205539
Mumbai,Sunrisers,Mumbai,14 runs,"Apr 18, 2023",T203831
Super Kings,RCB,Super Kings,8 runs,"Apr 17, 2023",T206232
Titans,Royals,Royals,3 wickets,"Apr 16, 2023",T204210
KKR,Mumbai,Mumbai,5 wickets,"Apr 16, 2023",T202897
Super Giants,Punjab Kings,Punjab Kings,2 wickets,"Apr 15, 2023",T203424
RCB,Capitals,RCB,23 runs,"Apr 15, 2023",T208157
Sunrisers,KKR,Sunrisers,23 runs,"Apr 14, 2023",T209839
Punjab Kings,Titans,Titans,6 wickets,"Apr 13, 2023",T206541
Royals,Super Kings,Royals,3 runs,"Apr 12, 2023",T201215
Capitals,Mumbai,Mumbai,6 wickets,"Apr 11, 2023",T207664
RCB,Super Giants,Super Giants,1 wicket,"Apr 10, 2023",T202162
Punjab Kings,Sunrisers,Sunrisers,8 wickets,"Apr 9, 2023",T206444
Titans,KKR,KKR,3 wickets,"Apr 9, 2023",T208626
Mumbai,Super Kings,Super Kings,7 wickets,"Apr 8, 2023",T206408
Royals,Capitals,Royals,57 runs,"Apr 8, 2023",T207547
Sunrisers,Super Giants,Super Giants,5 wickets,"Apr 7, 2023",T209590
KKR,RCB,KKR,81 runs,"Apr 6, 2023",T207668
Punjab Kings,Royals,Punjab Kings,5 runs,"Apr 5, 2023",T201031
Capitals,Titans,Titans,6 wickets,"Apr 4, 2023",T205026
Super Kings,Super Giants,Super Kings,12 runs,"Apr 3, 2023",T202790
Mumbai,RCB,RCB,8 wickets,"Apr 2, 2023",T202485
Royals,Sunrisers,Royals,72 runs,"Apr 2, 2023",T209117
Super Giants,Capitals,Super Giants,50 runs,"Apr 1, 2023",T208512
Punjab Kings,KKR,Punjab Kings,7 runs,"Apr 1, 2023",T202853
Super Kings,Titans,Titans,5 wickets,"Mar 31, 2023",T201566
